project,mda_code,mda_name,lga_code,lga_name,econ_code,econ_name,func_code,func_name,amt_2024_actual,amt_2025_revised,amt_2025_perf_jan_sep,amt_2026_approved,source_page
"Complete Renovation of GSS, Doko",051700100100,Ministry of Basic & Secondary Education,12611200,LAVUN,23030106,REHABILITATION / REPAIRS - PUBLIC SCHOOLS,70922,UPPER-SECONDARY EDUCATION,141123600.0,850000000.01,0.0,550000000.01,92
"Complete Renovation of GSS, Suleja",051700100100,Ministry of Basic & Secondary Education,12622300,SULEJA,23030106,REHABILITATION / REPAIRS - PUBLIC SCHOOLS,70922,UPPER-SECONDARY EDUCATION,200000000.0,889778965.32,0.0,689778965.32,92
Complete Renovation of GSC Wushishi,051700100100,Ministry of Basic & Secondary Education,12632500,WUSHISHI,23030106,REHABILITATION / REPAIRS - PUBLIC SCHOOLS,70922,UPPER-SECONDARY EDUCATION,400000000.0,529663785.32,0.0,491580011.32,92
"Complete Renovation of GDSS, Eyagi-Bida",051700100100,Ministry of Basic & Secondary Education,12610300,BIDA,23030106,REHABILITATION / REPAIRS - PUBLIC SCHOOLS,70922,UPPER-SECONDARY EDUCATION,0.0,356414223.23,0.0,356414223.23,92
"Supply of 6,000 mattresses and pillows",051700100100,Ministry of Basic & Secondary Education,12642600,STATE WIDE,23010130,PURCHASE OF RECREATIONAL FACILITIES,70131,GENERAL PERSONNEL SERVICES,0.0,291600000.0,0.0,291600000.0,92
"Procurement and distribution of 5,000 tablets to public Schools",051700100100,Ministry of Basic & Secondary Education,12642600,STATE WIDE,23010124,PURCHASE OF TEACHING / LEARNING AID EQUIPMENT,70461,COMMUNICATION,0.0,750000000.0,0.0,550000000.0,92
"Provision of 100,000 Uniform to Public School Students",051700100100,Ministry of Basic & Secondary Education,12642600,STATE WIDE,23010124,PURCHASE OF TEACHING / LEARNING AID EQUIPMENT,70131,GENERAL PERSONNEL SERVICES,127930518.8,1000000000.0,618937841.3,500000000.0,92
Renovation and furnishing of area Offices of NSQASASs,051700100100,Ministry of Basic & Secondary Education,12642600,STATE WIDE,23030121,REHABILITATION / REPAIRS OF OFFICE BUILDINGS,70133,OTHER GENERAL SERVICES,0.0,475000000.0,0.0,475000000.0,92
Documentation and tittle deed survey of Public Secondary School in Niger State,051700100100,Ministry of Basic & Secondary Education,12642600,STATE WIDE,23050101,RESEARCH AND DEVELOPMENT,70133,OTHER GENERAL SERVICES,0.0,120000000.0,0.0,120000000.0,92
"Supply of 10,000 carton of chalk to Public Secondary Schools in the State",051700100100,Ministry of Basic & Secondary Education,12642600,STATE WIDE,23010124,PURCHASE OF TEACHING / LEARNING AID EQUIPMENT,70133,OTHER GENERAL SERVICES,0.0,80000000.0,0.0,80000000.0,92
Furmigation of 57 Public boarding Schools,051700100100,Ministry of Basic & Secondary Education,12642600,STATE WIDE,23020107,CONSTRUCTION / PROVISION OF PUBLIC SCHOOLS,70922,UPPER-SECONDARY EDUCATION,0.0,85000000.0,0.0,85000000.0,92
"Phase 1:Construction of fields,Track Volleyball and Basket Ball court in 6 secondary schools and supply of other sporting facilities",051700100100,Ministry of Basic & Secondary Education,12642600,STATE WIDE,23020112,CONSTRUCTION / PROVISION OF SPORTING FACILITIES,70133,OTHER GENERAL SERVICES,0.0,250813676.0,0.0,0.0,92
Repairs of storm damaged structure in 50 Schools,051700100100,Ministry of Basic & Secondary Education,12642600,STATE WIDE,23030106,REHABILITATION / REPAIRS - PUBLIC SCHOOLS,70133,OTHER GENERAL SERVICES,0.0,100000000.0,0.0,150000000.0,92
Rehabilitation 3 Blocks of classroom at Government Science secondary school Gidan Kwanu,051700100100,Ministry of Basic & Secondary Education,12621600,CHANCHAGA,23030106,REHABILITATION / REPAIRS - PUBLIC SCHOOLS,70133,OTHER GENERAL SERVICES,0.0,56000000.0,0.0,56000000.0,92
Procurement of Mobile Science Kits to 200 Science Schools across the state,051700100100,Ministry of Basic & Secondary Education,12642600,STATE WIDE,23010124,PURCHASE OF TEACHING / LEARNING AID EQUIPMENT,70133,OTHER GENERAL SERVICES,0.0,156200000.0,0.0,182750000.0,92
"Supply of Science equipment and reagents for Physics, Chemistry and",051700100100,Ministry of Basic & Secondary Education,12642600,STATE WIDE,23010125,PURCHASE OF LIBRARY BOOKS & EQUIPMENT,70133,OTHER GENERAL SERVICES,0.0,300000000.0,0.0,300000000.0,92
Engagement of 300 Public Secondary Schools in STEAM Agro- Education,051700100100,Ministry of Basic & Secondary Education,12642600,STATE WIDE,23050101,RESEARCH AND DEVELOPMENT,70133,OTHER GENERAL SERVICES,0.0,58027550.0,0.0,200000000.0,92
"Whole School Development Approach: Renovation of Government Technical & Vocational College, Minna",051700100100,Ministry of Basic & Secondary Education,12621600,CHANCHAGA,23030106,REHABILITATION / REPAIRS - PUBLIC SCHOOLS,70922,UPPER-SECONDARY EDUCATION,0.0,500000000.0,0.0,500000000.0,92
"Whole School Development Approach: Renovation of Government Technical & Vocational College, Eyagi, Bida",051700100100,Ministry of Basic & Secondary Education,12610300,BIDA,23030106,REHABILITATION / REPAIRS - PUBLIC SCHOOLS,70922,UPPER-SECONDARY EDUCATION,0.0,760453486.58,0.0,760453486.0,92
"Whole School Development Approach: Renovation of Government Technical & Vocational College,Jebba North",051700100100,Ministry of Basic & Secondary Education,12630400,BORGU,23030106,REHABILITATION / REPAIRS - PUBLIC SCHOOLS,70922,UPPER-SECONDARY EDUCATION,0.0,450000000.0,0.0,450000000.0,92
"Whole School Development Approach: Renovation of Government Technical & Vocational College, Sabon Bwari",051700100100,Ministry of Basic & Secondary Education,12622400,TAFA,23030106,REHABILITATION / REPAIRS - PUBLIC SCHOOLS,70922,UPPER-SECONDARY EDUCATION,0.0,600000000.0,0.0,600000000.0,92
"Whole School Development Approach: Renovation of Suleman Barau Technical & Vocational College, Suleja",051700100100,Ministry of Basic & Secondary Education,12622300,SULEJA,23030106,REHABILITATION / REPAIRS - PUBLIC SCHOOLS,70922,UPPER-SECONDARY EDUCATION,0.0,750000000.0,0.0,750000000.0,92
"Whole School Development Approach: Renovation of Government Technical & Vocational College, Kontagora",051700100100,Ministry of Basic & Secondary Education,12631000,KONTAGORA,23030106,REHABILITATION / REPAIRS - PUBLIC SCHOOLS,70922,UPPER-SECONDARY EDUCATION,0.0,600000000.0,0.0,600000000.0,92
"Whole School Development Approach: Renovation of Government Technical & Vocational College, Rijau",051700100100,Ministry of Basic & Secondary Education,12632100,RIJAU,23030106,REHABILITATION / REPAIRS - PUBLIC SCHOOLS,70922,UPPER-SECONDARY EDUCATION,0.0,500000000.0,0.0,500000000.0,92
"Whole School Development Approach: enovation of Government Technical College, New-Bussa",051700100100,Ministry of Basic & Secondary Education,12630400,BORGU,23030106,REHABILITATION / REPAIRS - PUBLIC SCHOOLS,70922,UPPER-SECONDARY EDUCATION,0.0,500000000.0,0.0,500000000.0,92
Accreditation of courses of Technical & Vocational Colleges,051700100100,Ministry of Basic & Secondary Education,12642600,STATE WIDE,23050101,RESEARCH AND DEVELOPMENT,70131,GENERAL PERSONNEL SERVICES,0.0,125875780.0,0.0,125875780.0,92
Supply of tools and Equipments for workshops,051700100100,Ministry of Basic & Secondary Education,12642600,STATE WIDE,23010124,PURCHASE OF TEACHING / LEARNING AID EQUIPMENT,70133,OTHER GENERAL SERVICES,0.0,1580000000.0,0.0,0.0,92
"Whole School Development Approach: Renovation of Government Technical and Vocational College, Pandogari",051700100100,Ministry of Basic & Secondary Education,12622000,RAFI,23030106,REHABILITATION / REPAIRS - PUBLIC SCHOOLS,70922,UPPER-SECONDARY EDUCATION,0.0,400000000.0,0.0,400000000.0,92
Construction of perimeter fence at Education Resource Centre,051700100100,Ministry of Basic & Secondary Education,12621600,CHANCHAGA,23020118,CONSTRUCTION / PROVISION OF INFRASTRUCTURE,70133,OTHER GENERAL SERVICES,0.0,87093681.88,0.0,97093682.0,92
Renovation of Examination centre at ERC,051700100100,Ministry of Basic & Secondary Education,12621600,CHANCHAGA,23030106,REHABILITATION / REPAIRS - PUBLIC SCHOOLS,70131,GENERAL PERSONNEL SERVICES,0.0,79625000.0,0.0,0.0,92
Renovation of 10no. offices and 2 halls,051700100100,Ministry of Basic & Secondary Education,12621600,CHANCHAGA,23030121,REHABILITATION / REPAIRS OF OFFICE BUILDINGS,70131,GENERAL PERSONNEL SERVICES,0.0,77682452.0,0.0,87682452.0,92
Sensitization and Promotion of Girl child education (UNICEF),051700100100,Ministry of Basic & Secondary Education,12621600,CHANCHAGA,23050101,RESEARCH AND DEVELOPMENT,70131,GENERAL PERSONNEL SERVICES,0.0,305407527.0,0.0,0.0,92
Complete Renovation of GGSS Old Airport Minna,051700100100,Ministry of Basic & Secondary Education,12621600,CHANCHAGA,23030106,REHABILITATION / REPAIRS - PUBLIC SCHOOLS,70922,UPPER-SECONDARY EDUCATION,0.0,0.0,0.0,872875398.0,92
Construction of CBT Centres in the 3 Senatorial Zones,051700100100,Ministry of Basic & Secondary Education,12642600,STATE WIDE,23020127,CONSTRUCTION OF ICT INFRASTRUCTURES,70922,UPPER-SECONDARY EDUCATION,0.0,0.0,0.0,320000000.0,92
"Provision of 50no. Adaptive computers, 20no. Braille machines and 50no. Hearing aids for Special Schools",051700100100,Ministry of Basic & Secondary Education,12621600,CHANCHAGA,23010124,PURCHASE OF TEACHING / LEARNING AID EQUIPMENT,70922,UPPER-SECONDARY EDUCATION,0.0,0.0,0.0,150000000.0,92
"Provision of 20no. Adaptive swings, 20no wheel chairs and 10no sensory toys for Special Schools",051700100100,Ministry of Basic & Secondary Education,12621600,CHANCHAGA,23030118,REHABILITATION / REPAIRS - RECREATIONAL FACILITIES,70922,UPPER-SECONDARY EDUCATION,0.0,0.0,0.0,100000000.0,92
Renovation of 2 Schools Per Zone With Accessibility Features,051700100100,Ministry of Basic & Secondary Education,12642600,STATE WIDE,23030106,REHABILITATION / REPAIRS - PUBLIC SCHOOLS,70922,UPPER-SECONDARY EDUCATION,0.0,0.0,0.0,150000000.0,92
ii.Nigeria Learning Passport and Safe School Initiative (UNICEF) installation of routers to 50 selected schools across the state,051700100100,Ministry of Basic & Secondary Education,12642600,STATE WIDE,23020127,CONSTRUCTION OF ICT INFRASTRUCTURES,70922,UPPER-SECONDARY EDUCATION,0.0,0.0,0.0,105000000.0,92
i. UBEC Intervention on Construction/Rehabilitation of Schools,051700300100,State Universal Education Board-SUBEB,12621600,CHANCHAGA,23050101,RESEARCH AND DEVELOPMENT,70133,OTHER GENERAL SERVICES,1750000000.0,20000000.0,16428389.61,18500000.0,92
ii. Renovation and Furnishing of Offices at SUBEB Office Minna,051700300100,State Universal Education Board-SUBEB,12621600,CHANCHAGA,23020102,CONSTRUCTION / PROVISION OF RESIDENTIAL BUILDINGS,70133,OTHER GENERAL SERVICES,0.0,15000000.0,16428389.61,20000000.0,92
iii. Emergency Renovation of Some Selected Schools in the State in the 3 Senatorial Zones in the State,051700300100,State Universal Education Board-SUBEB,12621600,CHANCHAGA,23030106,REHABILITATION / REPAIRS - PUBLIC SCHOOLS,70133,OTHER GENERAL SERVICES,0.0,15000000.0,16428389.61,10500000.0,92
"iv. Construction of Classrooms, Laboratories, Mosque and Domitories at Bida, Kagara, Maikunkele and Kontagora (IDB)",051700300100,State Universal Education Board-SUBEB,12621600,CHANCHAGA,23020107,CONSTRUCTION / PROVISION OF PUBLIC SCHOOLS,70133,OTHER GENERAL SERVICES,1150000000.0,1329190000.0,1306818626.0,11000000.0,92
"Renovation of Junior Secondary School Doko, Lavun LGA",051700300100,State Universal Education Board-SUBEB,12611200,LAVUN,23030106,REHABILITATION / REPAIRS - PUBLIC SCHOOLS,70921,LOWER SECONDARY EDUCATION,0.0,435000000.0,100000000.0,870000000.0,92
Construction of Block of Three Classroom With Office at Enagi Primary School,051700300100,State Universal Education Board-SUBEB,12610600,EDATI,23020107,CONSTRUCTION / PROVISION OF PUBLIC SCHOOLS,70912,PRIMARY EDUCATION,0.0,300000000.0,200000000.0,600000000.0,93
"Renovation of a Block of Four Classroam Eppa Primary School, Makwa LGA.",051700300100,State Universal Education Board-SUBEB,12611700,MOKOWA,23030106,REHABILITATION / REPAIRS - PUBLIC SCHOOLS,70912,PRIMARY EDUCATION,0.0,330000000.0,300000000.0,660000000.0,93
"Rehabilition of junior schondary school batati, Gbako LGA",051700300100,State Universal Education Board-SUBEB,12610700,GBAKO,23030106,REHABILITATION / REPAIRS - PUBLIC SCHOOLS,70921,LOWER SECONDARY EDUCATION,0.0,560789000.0,500000000.0,1121578000.0,93
Provision of 7000no. Desk and Chairs in Primary Schools at wushishi,051700300100,State Universal Education Board-SUBEB,12632500,WUSHISHI,23020107,CONSTRUCTION / PROVISION OF PUBLIC SCHOOLS,70912,PRIMARY EDUCATION,0.0,441279000.0,410000000.0,882558000.0,93
"Construction of 2Block of 3Classroams at Jipo Primary School, Agaie LGA",051700300100,State Universal Education Board-SUBEB,12610100,AGAIE,23020107,CONSTRUCTION / PROVISION OF PUBLIC SCHOOLS,70912,PRIMARY EDUCATION,0.0,670000000.0,560000000.0,740000000.0,93
"Renovation of Junior Secondary School Diko, Gurara LGA",051700300100,State Universal Education Board-SUBEB,12620800,GURARA,23030106,REHABILITATION / REPAIRS - PUBLIC SCHOOLS,70921,LOWER SECONDARY EDUCATION,0.0,457600000.0,400000000.0,915200000.0,93
"Renovation of Azhi -Bisa Junior secondary School, Tafa LGA",051700300100,State Universal Education Board-SUBEB,12622400,TAFA,23030106,REHABILITATION / REPAIRS - PUBLIC SCHOOLS,70921,LOWER SECONDARY EDUCATION,0.0,411000000.0,400000000.0,1300000000.0,93
"Construction of 2no. Classroam and 1no. Office at JSS Dogon Kurmi, Tafa LGA",051700300100,State Universal Education Board-SUBEB,12622400,TAFA,23020107,CONSTRUCTION / PROVISION OF PUBLIC SCHOOLS,70921,LOWER SECONDARY EDUCATION,0.0,650000000.0,500000000.0,822000000.0,93
"Renovation of Junior Secondary School Erena, Shiroro LGA",051700300100,State Universal Education Board-SUBEB,12622200,SHIRORO,23030106,REHABILITATION / REPAIRS - PUBLIC SCHOOLS,70921,LOWER SECONDARY EDUCATION,0.0,450000000.0,390000000.0,900000000.0,93
"Construction of Additional 3no. Classroam at Pandogari Primary Schoo , Rafi LGA",051700300100,State Universal Education Board-SUBEB,12622000,RAFI,23020107,CONSTRUCTION / PROVISION OF PUBLIC SCHOOLS,70912,PRIMARY EDUCATION,0.0,430000000.0,400000000.0,860000000.0,93
"Renovation and Fancing of Junior Secondary School Igade, Mashegu LGA",051700300100,State Universal Education Board-SUBEB,12631500,MASHEGU,23030106,REHABILITATION / REPAIRS - PUBLIC SCHOOLS,70921,LOWER SECONDARY EDUCATION,0.0,405000000.0,390000000.0,1120000000.0,93
"Construction of 2Block of Classroam at Sabongarin Ushe, Rijau LGA",051700300100,State Universal Education Board-SUBEB,12632100,RIJAU,23020107,CONSTRUCTION / PROVISION OF PUBLIC SCHOOLS,70912,PRIMARY EDUCATION,0.0,560000000.0,500000000.0,810000000.0,93
"Renovation of Busuru primary school, Agwara LGA",051700300100,State Universal Education Board-SUBEB,12630200,AGWARA,23030106,REHABILITATION / REPAIRS - PUBLIC SCHOOLS,70912,PRIMARY EDUCATION,0.0,370000000.0,310000000.0,1340000000.0,93
"Rehabilition of junior schondary school Gufanti, Borgu LGA",051700300100,State Universal Education Board-SUBEB,12630400,BORGU,23030106,REHABILITATION / REPAIRS - PUBLIC SCHOOLS,70921,LOWER SECONDARY EDUCATION,0.0,450000000.0,400000000.0,900000000.0,93
"Renovation and Furnishing of a Block of Class at JSS Yangalu, Magama LGA",051700300100,State Universal Education Board-SUBEB,12631300,MAGAMA,23030106,REHABILITATION / REPAIRS - PUBLIC SCHOOLS,70921,LOWER SECONDARY EDUCATION,0.0,380000000.0,300000000.0,929649670.22,93
"Purchase of Title 2no. Book Shelves,50 Reading Tables and Chairs",051700400100,Niger State Library Board,12642600,STATE WIDE,23010125,PURCHASE OF LIBRARY BOOKS & EQUIPMENT,70961,SUBSIDIARY SERVICES TO EDUCATION,0.0,15000000.0,0.0,50000000.0,93
Purchase of 5000no. Text Books and 1000no. Journals for the State Library,051700400100,Niger State Library Board,12642600,STATE WIDE,23010125,PURCHASE OF LIBRARY BOOKS & EQUIPMENT,70961,SUBSIDIARY SERVICES TO EDUCATION,0.0,35000000.0,0.0,0.0,93
Renovation of dr. Imam Library complex Minna,051700400100,Niger State Library Board,12642600,STATE WIDE,23030121,REHABILITATION / REPAIRS OF OFFICE BUILDINGS,70971,R & D EDUCATION,0.0,0.0,0.0,750000000.0,93
Ugrading of Vocational Training Centres in Bida,051700500100,State Agency for Mass Education,12610300,BIDA,23030106,REHABILITATION / REPAIRS - PUBLIC SCHOOLS,70922,UPPER-SECONDARY EDUCATION,0.0,150798000.0,0.0,60000000.0,93
Ugrading of Vocational Training Centres in Suleja,051700500100,State Agency for Mass Education,12631000,KONTAGORA,23030106,REHABILITATION / REPAIRS - PUBLIC SCHOOLS,70922,UPPER-SECONDARY EDUCATION,0.0,75000000.0,0.0,90000000.0,93
"Supply of 2nos executive table and chairs, 20nos tables and chairs at Agaie Wings of the Institute",051700700100,Teachers Professional Development Institute,12610100,AGAIE,23010112,PURCHASE OF OFFICE FURNITURE AND FITTINGS,70941,FIRST STAGE OF TERTIARY EDUCATION,0.0,125000000.0,0.0,200000000.0,93
"Supply of 2nos executive table and chairs, 20nos tables and chairs at Nassarawa Kainji Wings of the Institute",051700700100,Teachers Professional Development Institute,12631300,MAGAMA,23010112,PURCHASE OF OFFICE FURNITURE AND FITTINGS,70941,FIRST STAGE OF TERTIARY EDUCATION,150000000.0,125000000.0,0.0,0.0,93
i. Purchase of 3no. Core i7 HP Laptops,051705800100,Book Development Agency,12642600,STATE WIDE,23010113,PURCHASE OF COMPUTERS,70133,OTHER GENERAL SERVICES,0.0,4000000.0,0.0,5000000.0,93
ii. Purchase of 3no motor cycles and Books for Hawker Scheme,051705800100,Book Development Agency,12642600,STATE WIDE,23010104,PURCHASE MOTOR CYCLES,70133,OTHER GENERAL SERVICES,0.0,6000000.0,0.0,10000000.0,93
"Improvement of Maternal, Adolecent and Child Nutrition",052100100100,Ministry of Primary Health Care,12642600,STATE WIDE,23020116,CONSTRUCTION / PROVISION OF WATER-WAYS,70133,OTHER GENERAL SERVICES,0.0,260000000.0,0.0,0.0,93
"Digital Health: Procurement of 50no Laptops and Tablets, Installation of Digital EMR for 25 General Hospitals and Digital Diagonistic Equipment",052100100100,Ministry of Primary Health Care,12642600,STATE WIDE,23010106,PURCHASE OF VANS,70741,PUBLIC HEALTH SERVICES,0.0,499776000.0,0.0,0.0,93
Construction/Provision of new Office Building for Health Insurance Agency,052100200100,Niger State Contributory Health Scheme Agency,12642600,STATE WIDE,23020106,CONSTRUCTION / PROVISION OF HOSPITALS / HEALTH CENTRES,70722,SPECIALIZED MEDICAL SERVICES,0.0,300000000.0,0.0,40000000.0,93
Purchase of 15 SeaterConfrence table and executive tables and Chairs for the Agency,052100200100,Niger State Contributory Health Scheme Agency,12642600,STATE WIDE,23010112,PURCHASE OF OFFICE FURNITURE AND FITTINGS,70722,SPECIALIZED MEDICAL SERVICES,0.0,150000000.0,0.0,30000000.0,93
Design/Construction/Deployment of ICT Infrastructure,052100200100,Niger State Contributory Health Scheme Agency,12642600,STATE WIDE,23020127,CONSTRUCTION OF ICT INFRASTRUCTURES,70722,SPECIALIZED MEDICAL SERVICES,0.0,50000000.0,0.0,30000000.0,93
Development of Data base/ Web page for health Insurance scheme,052100200100,Niger State Contributory Health Scheme Agency,12642600,STATE WIDE,23020127,CONSTRUCTION OF ICT INFRASTRUCTURES,70722,SPECIALIZED MEDICAL SERVICES,0.0,120000000.0,0.0,0.0,93
Nutri- 25 Enrolment into State Health Insurance for Women and Children Across the 25 LGAs,052100200100,Niger State Contributory Health Scheme Agency,12642600,STATE WIDE,23050101,RESEARCH AND DEVELOPMENT,70722,SPECIALIZED MEDICAL SERVICES,0.0,500000000.0,0.0,0.0,93
Construction of 2no Zonal Vaccine Cold Store at Bida and Kontagora,052100300100,Primary Health Care Development Agency,12642600,STATE WIDE,23020106,CONSTRUCTION / PROVISION OF HOSPITALS / HEALTH CENTRES,70721,GENERAL MEDICAL SERVICES,3500000000.0,310000000.0,300000000.0,0.0,93
"puchade of 10no. stryker hospital bed,6no. Avastonic bladder scanner forMinna PHC's Emergency Operation Centre",052100300100,Primary Health Care Development Agency,12642600,STATE WIDE,23010112,PURCHASE OF OFFICE FURNITURE AND FITTINGS,70721,GENERAL MEDICAL SERVICES,6165000000.0,92000000.0,80000000.0,0.0,93
Purchase of 3no Normadic Health Vehicles,052100300100,Primary Health Care Development Agency,12642600,STATE WIDE,23010105,PURCHASE OF MOTOR VEHICLES,70721,GENERAL MEDICAL SERVICES,0.0,750000000.0,700000000.0,0.0,93
Purchase of Vaccines for Epidemic Emergency Response,052100300100,Primary Health Care Development Agency,12642600,STATE WIDE,23010122,PURCHASE OF HEALTH / MEDICAL EQUIPMENT,70721,GENERAL MEDICAL SERVICES,350000000.0,238000000.0,200000000.0,0.0,93
Purchase of Vaccines for the Coverage of 5 Round Immunization Campaign,052100300100,Primary Health Care Development Agency,12642600,STATE WIDE,23010122,PURCHASE OF HEALTH / MEDICAL EQUIPMENT,70711,PHARMACEUTICAL PRODUCTS,0.0,325000000.0,300000000.0,854000000.0,93
Nomadic Mobile Health Services Across the State,052100300100,Primary Health Care Development Agency,12642600,STATE WIDE,23010105,PURCHASE OF MOTOR VEHICLES,70721,GENERAL MEDICAL SERVICES,24000000.0,375000000.0,320000000.0,0.0,93
"purchase of strilised gloves, clamp, gauze pads and delivery mat for Safe Motherhood",052100300100,Primary Health Care Development Agency,12642600,STATE WIDE,23010122,PURCHASE OF HEALTH / MEDICAL EQUIPMENT,70761,HEALTH N.E.C.,0.0,180000000.0,150000000.0,0.0,93
"Purchase of 100no. Oral contraceptive pill, 50. implants, 80 no. injectable, 100no. Patches and uterine devices for Family Planning",052100300100,Primary Health Care Development Agency,12642600,STATE WIDE,23010122,PURCHASE OF HEALTH / MEDICAL EQUIPMENT,70711,PHARMACEUTICAL PRODUCTS,500000000.0,120000000.0,96226829.73,0.0,93
sensitization on Adolesent Health,052100300100,Primary Health Care Development Agency,12642600,STATE WIDE,23050101,RESEARCH AND DEVELOPMENT,70722,SPECIALIZED MEDICAL SERVICES,400000000.0,120000000.0,100000000.0,0.0,93
"purchase of 2000no. BCG vaccine, 1000no. HEPB vaccine and 5000NO RV vaccine Immunization",052100300100,Primary Health Care Development Agency,12642600,STATE WIDE,23010122,PURCHASE OF HEALTH / MEDICAL EQUIPMENT,70711,PHARMACEUTICAL PRODUCTS,400000000.0,240000000.0,220000000.0,0.0,93
Maternal Neonatal Child Health Week,052100300100,Primary Health Care Development Agency,12642600,STATE WIDE,23050101,RESEARCH AND DEVELOPMENT,70722,SPECIALIZED MEDICAL SERVICES,0.0,180000000.0,160000000.0,0.0,93
Drug Revolving: Conduct of Monitoring and Supervision on the Activities of Drug Revolving Committees Across the State,052100300100,Primary Health Care Development Agency,12642600,STATE WIDE,23050103,MONITORING AND EVALUATION,70711,PHARMACEUTICAL PRODUCTS,0.0,100000000.0,80000000.0,0.0,93
Sensitization on Environmental Health,052100300100,Primary Health Care Development Agency,12642600,STATE WIDE,23040105,WATER POLLUTION PREVENTION & CONTROL,70761,HEALTH N.E.C.,0.0,90000000.0,70000000.0,0.0,93
Integrated Management of Child Illness,052100300100,Primary Health Care Development Agency,12642600,STATE WIDE,23050101,RESEARCH AND DEVELOPMENT,70721,GENERAL MEDICAL SERVICES,0.0,120000000.0,110000000.0,0.0,93
"Support to health promotion (UNICEF):Water, Sanitation & Hygiene (WASH) Promotion",052100300100,Primary Health Care Development Agency,12642600,STATE WIDE,23050101,RESEARCH AND DEVELOPMENT,70721,GENERAL MEDICAL SERVICES,0.0,120000000.0,110000000.0,215898000.0,93
Community HIV and OVC Programme,052100300100,Primary Health Care Development Agency,12642600,STATE WIDE,23050101,RESEARCH AND DEVELOPMENT,70721,GENERAL MEDICAL SERVICES,0.0,80000000.0,70000000.0,0.0,94
Community Health Influenzer Promoters and Services,052100300100,Primary Health Care Development Agency,12642600,STATE WIDE,23050101,RESEARCH AND DEVELOPMENT,70721,GENERAL MEDICAL SERVICES,0.0,100000000.0,90000000.0,0.0,94
Purchase of 30no Samsung Galaxy Phones for Ward Health Promotion Officers Across the State,052100300100,Primary Health Care Development Agency,12642600,STATE WIDE,23010122,PURCHASE OF HEALTH / MEDICAL EQUIPMENT,70721,GENERAL MEDICAL SERVICES,0.0,60000000.0,10000000.0,0.0,94
Basic Health Provision Fund (BHCPF): FGN Grant for Provisoin of minimum package of Health Service & Fiscal Space for PHCs,052100300100,Primary Health Care Development Agency,12642600,STATE WIDE,23050101,RESEARCH AND DEVELOPMENT,70721,GENERAL MEDICAL SERVICES,0.0,1937217707.81,1500000000.0,1346360928.02,94
Puchase of 3no. dedicated cold chain fridge bundle 80litre capacity for Routine Immunization and Governance (UNICEF),052100300100,Primary Health Care Development Agency,12642600,STATE WIDE,23010122,PURCHASE OF HEALTH / MEDICAL EQUIPMENT,70721,GENERAL MEDICAL SERVICES,0.0,551510500.0,450000000.0,5756096700.0,94
Control of Malaria through Immunization (Malaria Consortium),052100300100,Primary Health Care Development Agency,12642600,STATE WIDE,23050103,MONITORING AND EVALUATION,70721,GENERAL MEDICAL SERVICES,0.0,860000000.0,800000000.0,0.0,94
"NUT: 3 Provision of Basic Nutrition to Children, Pregnant and Lactating Mothers ANRiN",052100300100,Primary Health Care Development Agency,12642600,STATE WIDE,23050103,MONITORING AND EVALUATION,70711,PHARMACEUTICAL PRODUCTS,0.0,876888039.0,582442026.0,1190238050.0,94
Routine Immunization and Governance (UNICEF),052100300100,Primary Health Care Development Agency,12642600,STATE WIDE,23050103,MONITORING AND EVALUATION,70711,PHARMACEUTICAL PRODUCTS,0.0,114500000.0,0.0,0.0,94
Improvement on the Provision of Health Services and Good Governance (GAVI/UNICEF),052100300100,Primary Health Care Development Agency,12642600,STATE WIDE,23050101,RESEARCH AND DEVELOPMENT,70711,PHARMACEUTICAL PRODUCTS,0.0,1167000000.0,1139886446.56,0.0,94
Support to Nutrition (USAID) Maternal and Newborn Child and health services,052100300100,Primary Health Care Development Agency,12642600,STATE WIDE,23050101,RESEARCH AND DEVELOPMENT,70711,PHARMACEUTICAL PRODUCTS,0.0,1250000000.0,349600000.0,600000000.0,94
i. Remodelling of Makwalla Primary Health Care Center,052100300100,Primary Health Care Development Agency,12610300,BIDA,23030105,REHABILITATION / REPAIRS - HOSPITAL / HEALTH CENTRES,70741,PUBLIC HEALTH SERVICES,0.0,0.0,0.0,380000000.0,94
i. Remodelling of Ebo Primary Health Care Center,052100300100,Primary Health Care Development Agency,12611100,LAPAI,23030105,REHABILITATION / REPAIRS - HOSPITAL / HEALTH CENTRES,70741,PUBLIC HEALTH SERVICES,0.0,0.0,0.0,380000000.0,94
iii. Remodelling of Baddegi Primary Health Care Center,052100300100,Primary Health Care Development Agency,12610300,BIDA,23030105,REHABILITATION / REPAIRS - HOSPITAL / HEALTH CENTRES,70741,PUBLIC HEALTH SERVICES,0.0,0.0,0.0,380000000.0,94
iv. Remodelling of Sabon Wuse Primary Health Care Center,052100300100,Primary Health Care Development Agency,12622400,TAFA,23030105,REHABILITATION / REPAIRS - HOSPITAL / HEALTH CENTRES,70741,PUBLIC HEALTH SERVICES,0.0,0.0,0.0,380000000.0,94
v. Remodelling of Muregi Primary Health Care Center,052100300100,Primary Health Care Development Agency,12611700,MOKOWA,23030105,REHABILITATION / REPAIRS - HOSPITAL / HEALTH CENTRES,70741,PUBLIC HEALTH SERVICES,0.0,0.0,0.0,380000000.0,94
