project,amt_2024_actual,amt_2025_revised,amt_2025_perf,amt_2026_approved,amt_2027_estimate,amt_2028_estimate,amt_2026_tag_nutrition,source_page,page_y_top,page_y_bottom,mda_code,mda_name,economic_code,economic_name,function_code,function_name,location_code,location_name,program_code,program_name
"Construction of Poultry Farms/Shades in some selected secondary schools at Tambuwal Zone, Gwadabawa Zone and Sokoto South Zone",19965000.0,50000000.0,0.0,80000000.0,80000000.0,80000000.0,0.0,221,0.48611,0.50408,026800300100,Poultry Development Agency,23020113,CONSTRUCTION / PROVISION OF AGRICULTURAL FACILITIES,70421,AGRICULTURE,33342400,State Wide,01020325000400,"Poultry, pig, and micro livestock production"
"Procurement and Distribution of Poultry Vaccines such as Gumboro vaccines, Lasota and other necessary inputs across the state",0.0,20000000.0,0.0,26000000.0,20000000.0,20000000.0,0.0,221,0.49428,0.51225,026800300100,Poultry Development Agency,23010140,PURCHASE OF AGRICULTURAL INPUTS,70421,AGRICULTURE,33342400,State Wide,01020325000500,"Poultry, pig, and micro livestock production"
Youth Empowerment & Entreprenuership Development Activities in the State,0.0,300000000.0,30500000.0,0.0,0.0,0.0,0.0,221,0.53513,0.5531,028900100100,Ministry for Skills Acquisition and Entrepreneurship Development,23050109,POVERTY REDUCTION PROGRAMME AND PROJECTS,70811,RECREATIONAL AND SPORTING SERVICES,33342400,State Wide,03100126000900,Poverty Alleviation - General
Construction of Ultra-Modern Mega Skills Acquisition Hub at Wamakko LGA around BUA Cement plant,0.0,300000000.0,0.0,300000000.0,0.0,0.0,0.0,221,0.5433,0.56127,028900100100,Ministry for Skills Acquisition and Entrepreneurship Development,23020101,CONSTRUCTION / PROVISION OF OFFICE BUILDINGS,71091,SOCIAL PROTECTION N.E.C.,33312100,WAMAKKO,03100126001000,Poverty Alleviation - General
"Procurement of Starter Packs which include, tailorig, kneeting, solar installation, carpentery, paint making and costolmology for 12200 trainees",0.0,300000000.0,0.0,500000000.0,0.0,0.0,0.0,221,0.55147,0.56944,028900100100,Ministry for Skills Acquisition and Entrepreneurship Development,23010139,PURCHASE OF POVERTY AND EMERGENCY RELIEF MATERIALS,71091,SOCIAL PROTECTION N.E.C.,33342400,State Wide,03100126001100,Poverty Alleviation - General
Sokoto State Skill Acquisitions Scheme programme for people with disability across the 23 Local Government Area,0.0,300000000.0,0.0,0.0,0.0,0.0,0.0,221,0.55964,0.57761,028900100100,Ministry for Skills Acquisition and Entrepreneurship Development,23050101,RESEARCH AND DEVELOPMENT,71091,SOCIAL PROTECTION N.E.C.,33342400,State Wide,03100126001200,Poverty Alleviation - General
Procurement of 8no. Hp laptops and 4no. of hp Desktop for the 3 Senatorial skills centers and Ministry head qarters,0.0,0.0,0.0,20000000.0,0.0,0.0,0.0,221,0.56781,0.58578,028900100100,Ministry for Skills Acquisition and Entrepreneurship Development,23010113,PURCHASE OF COMPUTERS,71091,SOCIAL PROTECTION N.E.C.,33342400,State Wide,03100126001300,Poverty Alleviation - General
Renovation of 3 Existing Skills centers across the state Senatorial Zones,0.0,0.0,0.0,250000000.0,0.0,0.0,0.0,221,0.5768,0.59477,028900100100,Ministry for Skills Acquisition and Entrepreneurship Development,23030121,REHABILITATION / REPAIRS OF OFFICE BUILDINGS,71091,SOCIAL PROTECTION N.E.C.,33342400,State Wide,03100126001400,Poverty Alleviation - General
Procurement of 5 no. Hp printers and 8no. of Scanners,0.0,0.0,0.0,5000000.0,0.0,0.0,0.0,221,0.58497,0.60294,028900100100,Ministry for Skills Acquisition and Entrepreneurship Development,23010113,PURCHASE OF COMPUTERS,71091,SOCIAL PROTECTION N.E.C.,33342400,State Wide,03100126001500,Poverty Alleviation - General
Construction of power plant generator,0.0,35000000.0,0.0,30000000.0,30000000.0,30000000.0,0.0,221,0.62582,0.64379,031801100100,JUDICIAL SERVICE COMMISSION,23020125,CONSTRUCTION OF POWER GENERATING PLANTS,70331,LAW COURTS,33342400,State Wide,13100125000100,Reform of Government and Governance - General
Procurement of 2 N0 Toyota Camry corola Saloon & Parado Jeep for the Chairman,0.0,0.0,0.0,10000000.0,10000000.0,10000000.0,0.0,221,0.63399,0.65196,031801100100,JUDICIAL SERVICE COMMISSION,23010105,PURCHASE OF MOTOR VEHICLES,70331,LAW COURTS,33342400,State Wide,13100125000200,Reform of Government and Governance - General
Procurement of 5N0 Peugout 406 Saloon for Members and Secretary,0.0,0.0,0.0,10000000.0,10000000.0,10000000.0,0.0,221,0.64216,0.66013,031801100100,JUDICIAL SERVICE COMMISSION,23010105,PURCHASE OF MOTOR VEHICLES,70331,LAW COURTS,33342400,State Wide,13100125000300,Reform of Government and Governance - General
Construction of archive's block for storage of official documents/historical,0.0,25000000.0,0.0,25000000.0,25000000.0,25000000.0,0.0,221,0.65033,0.6683,031801100100,JUDICIAL SERVICE COMMISSION,23020101,CONSTRUCTION / PROVISION OF OFFICE BUILDINGS,70331,LAW COURTS,33342400,State Wide,13100125000400,Reform of Government and Governance - General
Renovation of exisiting Borehole at the commission complex,0.0,5000000.0,0.0,10000000.0,10000000.0,10000000.0,0.0,221,0.6585,0.67647,031801100100,JUDICIAL SERVICE COMMISSION,23030104,REHABILITATION / REPAIRS - WATER FACILITIES,70331,LAW COURTS,33342400,State Wide,13100125000500,Reform of Government and Governance - General
Procurement of 7 sets of executive chairs and tables for new JSC Secretariat,0.0,20000000.0,0.0,20000000.0,20000000.0,20000000.0,0.0,221,0.66667,0.68464,031801100100,JUDICIAL SERVICE COMMISSION,23010112,PURCHASE OF OFFICE FURNITURE AND FITTINGS,70331,LAW COURTS,33342400,State Wide,13100125000600,Reform of Government and Governance - General
Construction of overhead water tank and connecting public water with the new Secretariat,0.0,15000000.0,0.0,15000000.0,15000000.0,15000000.0,0.0,221,0.67484,0.69281,031801100100,JUDICIAL SERVICE COMMISSION,23020105,CONSTRUCTION / PROVISION OF WATER FACILITIES,70331,LAW COURTS,33342400,State Wide,13100125000700,Reform of Government and Governance - General
Construction of Library at JSC Complex,0.0,20000000.0,0.0,20000000.0,20000000.0,20000000.0,0.0,221,0.68382,0.7018,031801100100,JUDICIAL SERVICE COMMISSION,23020111,CONSTRUCTION / PROVISION OF LIBRARIES,70981,EDUCATION N.E.C,33342400,State Wide,13100125000800,Reform of Government and Governance - General
Connecting the Secretariat with internet intercome and maintenance,0.0,20000000.0,0.0,20000000.0,20000000.0,20000000.0,0.0,221,0.69199,0.70997,031801100100,JUDICIAL SERVICE COMMISSION,23020127,CONSTRUCTION OF ICT INFRASTRUCTURES,70331,LAW COURTS,33342400,State Wide,13100125001000,Reform of Government and Governance - General
Renovation of exisiting fencing wall,0.0,20000000.0,20000000.0,20000000.0,20000000.0,20000000.0,0.0,221,0.70016,0.71814,031801100100,JUDICIAL SERVICE COMMISSION,23030121,REHABILITATION / REPAIRS OF OFFICE BUILDINGS,70331,LAW COURTS,33342400,State Wide,13100125001100,Reform of Government and Governance - General
Construction of car park for member and staff,0.0,15000000.0,0.0,15000000.0,15000000.0,15000000.0,0.0,221,0.70833,0.72631,031801100100,JUDICIAL SERVICE COMMISSION,23020124,CONSTRUCTION OF MARKETS/PARKS,70331,LAW COURTS,33342400,State Wide,13100125001200,Reform of Government and Governance - General
Purchase of 20 no Dell and Hp Laptop Computers,0.0,25000000.0,0.0,25000000.0,25000000.0,25000000.0,0.0,221,0.7165,0.73448,031801100100,JUDICIAL SERVICE COMMISSION,23010113,PURCHASE OF COMPUTERS,70331,LAW COURTS,33342400,State Wide,13100125001200,Reform of Government and Governance - General
Purchase of 3 no Kyocera Photocopying Machines,0.0,35000000.0,0.0,25000000.0,25000000.0,25000000.0,0.0,221,0.72467,0.74265,031801100100,JUDICIAL SERVICE COMMISSION,23010115,PURCHASE OF PHOTOCOPYING MACHINES,70331,LAW COURTS,33342400,State Wide,13100125001300,Reform of Government and Governance - General
Purchase of 5 no Kyocera Computer Printers,0.0,25000000.0,0.0,25000000.0,25000000.0,25000000.0,0.0,221,0.73284,0.75082,031801100100,JUDICIAL SERVICE COMMISSION,23010114,PURCHASE OF COMPUTER PRINTERS,70331,LAW COURTS,33342400,State Wide,13100125001400,Reform of Government and Governance - General
Purchase of 2 no Shredding Machines,0.0,15000000.0,0.0,15000000.0,15000000.0,15000000.0,0.0,221,0.74101,0.75899,031801100100,JUDICIAL SERVICE COMMISSION,23010117,PURCHASE OF SHREDDING MACHINES,70331,LAW COURTS,33342400,State Wide,13100125001500,Reform of Government and Governance - General
Provision of Infrastructure Landscaping,0.0,25000000.0,0.0,25000000.0,25000000.0,25000000.0,0.0,221,0.74918,0.76716,031801100100,JUDICIAL SERVICE COMMISSION,23020118,CONSTRUCTION / PROVISION OF INFRASTRUCTURE,70331,LAW COURTS,33342400,State Wide,13100125001600,Reform of Government and Governance - General
"CONSTRUCTION OF ADDITIONAL 16 NO OF MAGISTRATES COURTS AT RBH,S/BRN. GRY, BNJ, TGZ, GUDU, DGS, KBE, SHGR, BDG, ILLELA,, R SAMBO, GUIWA",0.0,500000000.0,0.0,500000000.0,0.0,0.0,0.0,221,0.79085,0.80882,031805100100,State High Court,23020101,CONSTRUCTION / PROVISION OF OFFICE BUILDINGS,70331,LAW COURTS,33342400,State Wide,13100125000100,Reform of Government and Governance - General
PURCHASE OF 4NO ELECTRIC 300KVA GENERATOR FOR THE HIGC COURT COMPLEX AND MGST STATE,0.0,40272000.0,0.0,40759291.2,40759291.2,40759291.2,0.0,221,0.79902,0.81699,031805100100,State High Court,23010119,PURCHASE OF POWER GENERATING SET70331 - LAW COURTS,,WIDE,33342400,State Wide,13100125000200,Reform of Government and Governance - General
CONSTRUCTION OF CEREMONIAL COURT WITH CHIEF JUDGE CHAMBER AT HIGH COURT COMPLEX,0.0,5034000.0,0.0,500000000.0,2000000000.0,1500000000.0,0.0,221,0.80719,0.82516,031805100100,State High Court,23020101,CONSTRUCTION / PROVISION OF OFFICE BUILDINGS,70331,LAW COURTS,33312100,WAMAKKO,13100125000300,Reform of Government and Governance - General
CONSTRUCTION OF HIGH COURT DIVISION AT BINJI & GORONYO,0.0,176360000.0,0.0,0.0,0.0,0.0,0.0,221,0.81536,0.83333,031805100100,State High Court,23020101,CONSTRUCTION / PROVISION OF OFFICE BUILDINGS,70331,LAW COURTS,33342400,State Wide,13100125000400,Reform of Government and Governance - General
REHABILITATION OF HIGH COURT DIVISION BODINGA,0.0,176360000.0,0.0,0.0,0.0,0.0,0.0,221,0.82353,0.8415,031805100100,State High Court,23030121,REHABILITATION / REPAIRS OF OFFICE BUILDINGS,70331,LAW COURTS,33330200,BODINGA,13100125000500,Reform of Government and Governance - General
PURCHASE OF COMPUTERS WIRELESS INTERNET LINK AND EXTENSION FOR THE MAGISTRATE,0.0,70476000.0,0.0,71328756.6,71328756.6,71328756.6,0.0,221,0.8317,0.84967,031805100100,State High Court,23050102,COMPUTER SOFTWARE ACQUISITION,70331,LAW COURTS,33342400,State Wide,13100125000600,Reform of Government and Governance - General
RENOVATION OF NEW HIGH COURT COMPLEX SOKOTO,0.0,20136000.0,0.0,20379645.6,20379645.6,20379645.6,0.0,221,0.83987,0.85784,031805100100,State High Court,23030121,REHABILITATION / REPAIRS OF OFFICE BUILDINGS,70331,LAW COURTS,33312100,WAMAKKO,13100125000700,Reform of Government and Governance - General
PURCHASE OF NEW OFFICIAL RESIDENCE FOR THE HON C J,0.0,100000000.0,0.0,100000000.0,1000000000.0,1000000000.0,0.0,221,0.84804,0.86601,031805100100,State High Court,23010103,PURCHASE OF RESIDENTIAL BUILDINGS,70331,LAW COURTS,33312100,WAMAKKO,13100125000800,Reform of Government and Governance - General
RENOVATION OF C J SERVANT QUARTERS AT SAMA ROAD,0.0,30204000.0,0.0,0.0,0.0,0.0,0.0,221,0.85621,0.87418,031805100100,State High Court,23030103,REHABILITATION / REPAIRS - HOUSING,70331,LAW COURTS,33312100,WAMAKKO,13100125000900,Reform of Government and Governance - General
PURCHASE OF 1NO JEEP GAC 2025 MODEL FOR CR & 3 NO. TOYOLA COROLA 2025 MODEL FOR 3 DCRs,0.0,0.0,0.0,500000000.0,0.0,0.0,0.0,221,0.86438,0.88235,031805100100,State High Court,23010105,PURCHASE OF MOTOR VEHICLES,70331,LAW COURTS,33342400,State Wide,05040226000600,Instructional and learning materials
CONSTRUCTION OF STAFF CANTEEN AT HIGH COURT,0.0,60408000.0,0.0,61138936.8,61138936.8,61138936.8,0.0,221,0.87255,0.89052,031805100100,State High Court,23020101,CONSTRUCTION / PROVISION OF OFFICE BUILDINGS,70331,LAW COURTS,33312100,WAMAKKO,13100125001100,Reform of Government and Governance - General
CONSTRUCTION OF FENCE AT MAGISTRATE COURT 11 AND V11 NEAR AREA COMMANDER OFFICE,0.0,50340000.0,0.0,50949114.0,50949114.0,50949114.0,0.0,221,0.88154,0.89951,031805100100,State High Court,23020101,CONSTRUCTION / PROVISION OF OFFICE BUILDINGS,70331,LAW COURTS,33342400,State Wide,13100125001200,Reform of Government and Governance - General
CONSTRUCTION OF NEW MOSQUE AT GROUP OF MAGISTRATE AREA COMMAND SOK.,0.0,2013600.0,0.0,2037964.56,2037964.56,2037964.56,0.0,221,0.88971,0.90768,031805100100,State High Court,23020128,CONSTUCTION/PROVISION OF RELIGIOUS BUILDING,70331,LAW COURTS,33311600,SOKOTO NORTH,13100125001300,Reform of Government and Governance - General
CONSTRUCTION OF MOBILE COURT FOR SANITATION AND TRAFFIC,0.0,45306000.0,0.0,45854856.0,45854856.0,45854856.0,0.0,221,0.89788,0.91585,031805100100,State High Court,23020101,CONSTRUCTION / PROVISION OF OFFICE BUILDINGS,70331,LAW COURTS,33342400,State Wide,13100125001400,Reform of Government and Governance - General
PURCHASE OF PILOT CAR FOR HON C J,0.0,50340000.0,0.0,50949114.0,50949114.0,50949114.0,0.0,222,0.09069,0.10866,031805100100,State High Court,23010105,PURCHASE OF MOTOR VEHICLES,70331,LAW COURTS,33312100,WAMAKKO,13100125001500,Reform of Government and Governance - General
CONSTRUCTION OF 10 NO NEW RESIDENCE FOR HON JUDGES,0.0,15102000.0,0.0,15284734.2,15284734.2,15284734.2,0.0,222,0.09886,0.11683,031805100100,State High Court,23020102,CONSTRUCTION / PROVISION OF RESIDENTIAL BUILDINGS,70331,LAW COURTS,33342400,State Wide,13100125001600,Reform of Government and Governance - General
PURCHASE OF 4 NO TOYOTA HILUX 2020 MODEL,0.0,30204000.0,0.0,30569468.0,30569468.0,30569468.0,0.0,222,0.10703,0.125,031805100100,State High Court,23010105,PURCHASE OF MOTOR VEHICLES,70331,LAW COURTS,33342400,State Wide,13100125001700,Reform of Government and Governance - General
PURCHASE OF LAW BOOKS FOR MAGISTRATE S AND DISTRICT COURT,0.0,35238000.0,0.0,35664379.8,35664379.8,35664379.8,0.0,222,0.1152,0.13317,031805100100,State High Court,23010124,PURCHASE OF TEACHING / LEARNING AID EQUIPMENT,70331,LAW COURTS,33342400,State Wide,05040226000700,Instructional and learning materials
RENOVATION OF HIGH COURT COMPLEX SOKOTO,0.0,30204000.0,0.0,30569468.0,30569468.0,30569468.0,0.0,222,0.12337,0.14134,031805100100,State High Court,23030121,REHABILITATION / REPAIRS OF OFFICE BUILDINGS,70331,LAW COURTS,33311500,SILAME,13100125001900,Reform of Government and Governance - General
PURCHASE OF 15 NO CHAIRS AND TABLES FOR HIGH COURT DIVISION AT TAMBUWAL & ISA,0.0,151020000.0,0.0,0.0,0.0,0.0,0.0,222,0.13154,0.14951,031805100100,State High Court,23010112,PURCHASE OF OFFICE FURNITURE AND FITTINGS,70331,LAW COURTS,33342400,State Wide,13100125002000,Reform of Government and Governance - General
PURCHASE OF 18 NO CHAIRS AND TABLES FOR 7NO RENTED COURT ROOMS,0.0,50340000.0,0.0,50949114.0,50949114.0,50949114.0,0.0,222,0.13971,0.15768,031805100100,State High Court,23010112,PURCHASE OF OFFICE FURNITURE AND FITTINGS,70331,LAW COURTS,33342400,State Wide,13100125002400,Reform of Government and Governance - General
RE-CONSTRUCTION OF DELAFIDATED CMC KWANNAWA DANGE SHUNI L/G,0.0,120816000.0,0.0,0.0,0.0,0.0,0.0,222,0.14788,0.16585,031805100100,State High Court,23020101,CONSTRUCTION / PROVISION OF OFFICE BUILDINGS,70331,LAW COURTS,33330300,DANGE SHUNI,13100125002500,Reform of Government and Governance - General
PURCHASE OF LAW BOOKS AND WEEKLY LAW REPORT FOR LIBRARY AND HON C J CHAMBER,0.0,25170000.0,0.0,25474557.0,25474557.0,25474557.0,0.0,222,0.15605,0.17402,031805100100,State High Court,23010125,PURCHASE OF LIBRARY BOOKS & EQUIPMENT,70331,LAW COURTS,33342400,State Wide,13100125002600,Reform of Government and Governance - General
Renovation of 25No Upper and lower Sharia Courts,0.0,200000000.0,0.0,102061000.0,102061000.0,102061000.0,0.0,222,0.19771,0.21569,031805500100,Shari’a Court of Appeal,23030121,REHABILITATION / REPAIRS OF OFFICE BUILDINGS,70331,LAW COURTS,33342400,State Wide,13100125000100,Reform of Government and Governance - General
Construction of 6 no Houses for 6 New Hon. Khadis in the State,0.0,50000000.0,0.0,51000000.0,51000000.0,51000000.0,0.0,222,0.20588,0.22386,031805500100,Shari’a Court of Appeal,23020104,CONSTRUCTION / PROVISION OF HOUSING,70331,LAW COURTS,33342400,State Wide,13100125000200,Reform of Government and Governance - General
Construction of Libraries for Lower/Upper sharia courts at Sokoto metropolis,0.0,140000000.0,0.0,140000000.0,140000000.0,140000000.0,0.0,222,0.21405,0.23203,031805500100,Shari’a Court of Appeal,23020111,CONSTRUCTION / PROVISION OF LIBRARIES,70981,EDUCATION N.E.C,33342400,State Wide,13100125000300,Reform of Government and Governance - General
"Purchase of Generator 100KVA for Sharia Court Zonal offices, Tambuwal",0.0,30000000.0,0.0,32000000.0,32000000.0,32000000.0,0.0,222,0.22222,0.2402,031805500100,Shari’a Court of Appeal,23010119,PURCHASE OF POWER GENERATING SET,70331,LAW COURTS,33331800,TAMBUWAL,13100125000400,Reform of Government and Governance - General
Fencing of Lower Sharia Court/Upper Sharia Court residence in the State,0.0,100000000.0,0.0,100000000.0,100000000.0,100000000.0,0.0,222,0.23039,0.24837,031805500100,Shari’a Court of Appeal,23030121,REHABILITATION / REPAIRS OF OFFICE BUILDINGS,70331,LAW COURTS,33342400,State Wide,13100125000700,Reform of Government and Governance - General
Procurement and Installation of Solar Power for Upper and Lower Courts in the State,0.0,60000000.0,0.0,60000000.0,60000000.0,60000000.0,0.0,222,0.23856,0.25654,031805500100,Shari’a Court of Appeal,23010119,PURCHASE OF POWER GENERATING SET,70331,LAW COURTS,33342400,State Wide,13100125001000,Reform of Government and Governance - General
Procurement and Installation of Solar Power at Divisional Courts a cross the State,0.0,10000000.0,0.0,10000000.0,10000000.0,10000000.0,0.0,222,0.24673,0.26471,031805500100,Shari’a Court of Appeal,23010119,PURCHASE OF POWER GENERATING SET,70331,LAW COURTS,33342400,State Wide,13100125001100,Reform of Government and Governance - General
Construction of ICT Centre at Sharia court of appeal headquarters.,0.0,35000000.0,0.0,35000000.0,35000000.0,35000000.0,0.0,222,0.2549,0.27288,031805500100,Shari’a Court of Appeal,23020127,CONSTRUCTION OF ICT INFRASTRUCTURES,70331,LAW COURTS,33342400,State Wide,13100125001200,Reform of Government and Governance - General
Renovation of 33 No Houses for Upper and Lower Sharia Courts of Judges across the State,0.0,140000000.0,0.0,141000000.0,141000000.0,141000000.0,0.0,222,0.26307,0.28105,031805500100,Shari’a Court of Appeal,23030103,REHABILITATION / REPAIRS - HOUSING,70331,LAW COURTS,33342400,State Wide,13100125001400,Reform of Government and Governance - General
Renovation of Hon Grand khadi and khadis Residence Houses,0.0,140000000.0,15000000.0,140000000.0,140000000.0,140000000.0,0.0,222,0.27124,0.28922,031805500100,Shari’a Court of Appeal,23030121,REHABILITATION / REPAIRS OF OFFICE BUILDINGS,70331,LAW COURTS,33342400,State Wide,13100125001500,Reform of Government and Governance - General
Construction of Mini Clinic at the Sharia Court Complex,0.0,140000000.0,0.0,140000000.0,140000000.0,140000000.0,0.0,222,0.28023,0.2982,031805500100,Shari’a Court of Appeal,23020106,CONSTRUCTION / PROVISION OF HOSPITALS / HEALTH CENTRES,70331,LAW COURTS,33342400,State Wide,13100125001600,Reform of Government and Governance - General
Construction of Rent Tribunal Complex,0.0,300000000.0,0.0,250000000.0,250000000.0,250000000.0,0.0,222,0.32108,0.33905,032600100100,Ministry of Justice,23020101,CONSTRUCTION / PROVISION OF OFFICE BUILDINGS,70331,LAW COURTS,33342400,State Wide,13100125000300,Reform of Government and Governance - General
Construction of Attorney Gen. Zonal offices at Isah,0.0,0.0,0.0,0.0,50000000.0,50000000.0,0.0,222,0.32925,0.34722,032600100100,Ministry of Justice,23020101,CONSTRUCTION / PROVISION OF OFFICE BUILDINGS,70331,LAW COURTS,33320900,ISA,13100125000400,Reform of Government and Governance - General
Construction of Attorney Gen. Zonal offices at Gwadabawa,0.0,0.0,0.0,0.0,50000000.0,50000000.0,0.0,222,0.33742,0.35539,032600100100,Ministry of Justice,23020101,CONSTRUCTION / PROVISION OF OFFICE BUILDINGS,70331,LAW COURTS,33320700,GWADABAWA,13100125000500,Reform of Government and Governance - General
Construction of Attorney Gen. Zonal offices Tambuwal,0.0,0.0,0.0,0.0,50000000.0,50000000.0,0.0,222,0.34559,0.36356,032600100100,Ministry of Justice,23020101,CONSTRUCTION / PROVISION OF OFFICE BUILDINGS,70331,LAW COURTS,33331800,TAMBUWAL,13100125000600,Reform of Government and Governance - General
Renovation of Existing Library at the Ministry,0.0,0.0,0.0,210000000.0,60000000.0,60000000.0,0.0,222,0.35376,0.37173,032600100100,Ministry of Justice,23030110,REHABILITATION / REPAIRS - LIBRARIES,70331,LAW COURTS,33342400,State Wide,13100125000800,Reform of Government and Governance - General
Construction of New Ministry of Justice Complex at Usman Faruk Sectretariate,0.0,1200000000.0,791176696.35,1500000000.0,1000000000.0,1000000000.0,0.0,222,0.36193,0.3799,032600100100,Ministry of Justice,23020101,CONSTRUCTION / PROVISION OF OFFICE BUILDINGS,70331,LAW COURTS,33342400,State Wide,13100125001000,Reform of Government and Governance - General
Purchase of 10 no tables and chairs for the New Ministry of Justice Complex,0.0,50000000.0,0.0,150000000.0,150000000.0,150000000.0,0.0,222,0.3701,0.38807,032600100100,Ministry of Justice,23010112,PURCHASE OF OFFICE FURNITURE AND FITTINGS,70331,LAW COURTS,33342400,State Wide,13100125001100,Reform of Government and Governance - General
Establishing of open Government Partnership Programme with Conferences in the State,0.0,200000000.0,0.0,150000000.0,150000000.0,150000000.0,0.0,222,0.37908,0.39706,032600100100,Ministry of Justice,23050103,MONITORING AND EVALUATION,70331,LAW COURTS,33342400,State Wide,13100125001200,Reform of Government and Governance - General
Purchase of Law Books for the State,0.0,50000000.0,0.0,100000000.0,0.0,0.0,0.0,222,0.41993,0.43791,032600200100,Law Reform Commission,23010125,PURCHASE OF LIBRARY BOOKS & EQUIPMENT,70981,EDUCATION N.E.C,33342400,State Wide,13100125000100,Reform of Government and Governance - General
Revison of Laws of Sokoto State,0.0,100000000.0,0.0,400000000.0,0.0,0.0,0.0,222,0.4281,0.44608,032600200100,Law Reform Commission,23050101,RESEARCH AND DEVELOPMENT,70331,LAW COURTS,33342400,State Wide,13100125000200,Reform of Government and Governance - General
Codification of Sharia and Civil Law(Caliphate Civil Code),0.0,50000000.0,0.0,0.0,0.0,0.0,0.0,222,0.43627,0.45425,032600200100,Law Reform Commission,23050101,RESEARCH AND DEVELOPMENT,70331,LAW COURTS,33342400,State Wide,13100125000300,Reform of Government and Governance - General
Renovation of Law Reforms Commission Office,0.0,100000000.0,0.0,100000000.0,100000000.0,100000000.0,0.0,222,0.44444,0.46242,032600200100,Law Reform Commission,23050101,RESEARCH AND DEVELOPMENT,70331,LAW COURTS,33311700,SOKOTO SOUTH,13100125000400,Reform of Government and Governance - General
"Purchase of 5 no. executive chairs, tables and 2 no. Shalves",0.0,5170000.0,0.0,5170000.0,5170000.0,5170000.0,0.0,222,0.45261,0.47059,032600200100,Law Reform Commission,23010112,PURCHASE OF OFFICE FURNITURE AND FITTINGS,70331,LAW COURTS,33311700,SOKOTO SOUTH,13100125000500,Reform of Government and Governance - General
Completion of 1st phase/construction of 2nd phase,0.0,100000000.0,0.0,550000000.0,50000000.0,50000000.0,0.0,222,0.49428,0.51225,032600600500,Sokoto College of Legal & Islamic St.,23020107,CONSTRUCTION / PROVISION OF PUBLIC SCHOOLS,70331,LAW COURTS,33322200,WURNO,05100125000100,Education Not Elsewhere Classified
Purchase of Library Assotex Text Books,0.0,25000000.0,0.0,20000000.0,20000000.0,20000000.0,0.0,222,0.50245,0.52042,032600600500,Sokoto College of Legal & Islamic St.,23010125,PURCHASE OF LIBRARY BOOKS & EQUIPMENT,70331,LAW COURTS,33322200,WURNO,05100125000200,Education Not Elsewhere Classified
Purchase of 3nos K.V.A Generators,0.0,25000000.0,0.0,0.0,0.0,0.0,0.0,222,0.51062,0.52859,032600600500,Sokoto College of Legal & Islamic St.,23010119,PURCHASE OF POWER GENERATING SET,70331,LAW COURTS,33322200,WURNO,05100125000300,Education Not Elsewhere Classified
Purchase of Academic Robes,0.0,20000000.0,0.0,0.0,0.0,0.0,0.0,222,0.51879,0.53676,032600600500,Sokoto College of Legal & Islamic St.,23050104,ANNIVERSARIES/CELEBRATIONS,70981,EDUCATION N.E.C,33322200,WURNO,05100125000400,Education Not Elsewhere Classified
Convocation and Provision of Certificates to 23 years Ex-students,0.0,80000000.0,0.0,0.0,0.0,0.0,0.0,222,0.52696,0.54493,032600600500,Sokoto College of Legal & Islamic St.,23050104,ANNIVERSARIES/CELEBRATIONS,70981,EDUCATION N.E.C,33322200,WURNO,05100125000700,Education Not Elsewhere Classified
"Purchase of chairs, tables, hospital beds, drawers, microscope College Clinic",0.0,0.0,0.0,20000000.0,20000000.0,20000000.0,0.0,222,0.53513,0.5531,032600600500,Sokoto College of Legal & Islamic St.,23010112,PURCHASE OF OFFICE FURNITURE AND FITTINGS,70981,EDUCATION N.E.C,33322200,WURNO,05100125000900,Education Not Elsewhere Classified
Construction of perimeter wall fence at Female Hostel of the College of Legal and Islamic Studies,0.0,100000000.0,0.0,0.0,0.0,0.0,0.0,222,0.5433,0.56127,032600600500,Sokoto College of Legal & Islamic St.,23020122,CONSTRUCTION OF BOUNDARY PILLARS/ RIGHT OF WAYS,70981,EDUCATION N.E.C,33322200,WURNO,05100125001000,Education Not Elsewhere Classified
Procurement and installation of 40nos of hp laptops for ICT,0.0,0.0,0.0,50000000.0,50000000.0,50000000.0,0.0,222,0.55147,0.56944,032600600500,Sokoto College of Legal & Islamic St.,23010113,PURCHASE OF COMPUTERS,70331,LAW COURTS,33322200,WURNO,05100126000400,Education Not Elsewhere Classified
Procurement and installation of 20nos of security CCTV cameras within the school premises,0.0,0.0,0.0,50000000.0,50000000.0,50000000.0,0.0,222,0.55964,0.57761,032600600500,Sokoto College of Legal & Islamic St.,23010128,PURCHASE OF SECURITY EQUIPMENT,70331,LAW COURTS,33322200,WURNO,05100126000500,Education Not Elsewhere Classified
Procurement of 20 sets of executive chairs and tables for adminstrative block of College of Legal and Islamic Studies,0.0,0.0,0.0,30000000.0,30000000.0,30000000.0,0.0,222,0.56781,0.58578,032600600500,Sokoto College of Legal & Islamic St.,23010112,PURCHASE OF OFFICE FURNITURE AND FITTINGS,70331,LAW COURTS,33322200,WURNO,05100126000600,Education Not Elsewhere Classified
Procurement and Installation of Solar Power for admin block and hostels,0.0,0.0,0.0,50000000.0,50000000.0,50000000.0,0.0,222,0.5768,0.59477,032600600500,Sokoto College of Legal & Islamic St.,23010119,PURCHASE OF POWER GENERATING SET,70981,EDUCATION N.E.C,33322200,WURNO,05100126000700,Education Not Elsewhere Classified
